wl,n,wl,k
,,1.22,1.18E-05
,,1.22125,1.18E-05
,,1.2225,1.18E-05
,,1.22375,1.17E-05
,,1.225,1.17E-05
,,1.22625,1.16E-05
,,1.2275,1.16E-05
,,1.22875,1.16E-05
,,1.23,1.15E-05
,,1.23125,1.16E-05
,,1.2325,1.16E-05
,,1.23375,1.15E-05
,,1.235,1.15E-05
,,1.23625,1.14E-05
,,1.2375,1.14E-05
,,1.23875,1.13E-05
,,1.24,1.13E-05
,,1.24125,1.13E-05
,,1.2425,1.13E-05
,,1.24375,1.13E-05
,,1.245,1.12E-05
,,1.24625,1.12E-05
,,1.2475,1.11E-05
,,1.24875,1.11E-05
,,1.25,1.10E-05
,,1.25125,1.11E-05
,,1.2525,1.11E-05
,,1.25375,1.10E-05
,,1.255,1.10E-05
,,1.25625,1.10E-05
,,1.2575,1.09E-05
,,1.25875,1.09E-05
,,1.26,1.09E-05
,,1.26125,1.09E-05
,,1.2625,1.09E-05
,,1.26375,1.10E-05
,,1.265,1.09E-05
,,1.26625,1.09E-05
,,1.2675,1.09E-05
,,1.26875,1.10E-05
,,1.27,1.09E-05
,,1.27125,1.10E-05
,,1.2725,1.10E-05
,,1.27375,1.10E-05
,,1.275,1.11E-05
,,1.27625,1.12E-05
,,1.2775,1.12E-05
,,1.27875,1.13E-05
,,1.28,1.13E-05
,,1.28125,1.14E-05
,,1.2825,1.15E-05
,,1.28375,1.16E-05
,,1.285,1.17E-05
,,1.28625,1.18E-05
,,1.2875,1.19E-05
,,1.28875,1.20E-05
,,1.29,1.21E-05
,,1.29125,1.24E-05
,,1.2925,1.27E-05
,,1.29375,1.28E-05
,,1.295,1.30E-05
,,1.29625,1.31E-05
,,1.2975,1.33E-05
,,1.29875,1.35E-05
,,1.3,1.38E-05
,,1.30125,1.40E-05
,,1.3025,1.42E-05
,,1.30375,1.44E-05
,,1.305,1.47E-05
,,1.30625,1.50E-05
,,1.3075,1.53E-05
,,1.30875,1.56E-05
,,1.31,1.59E-05
,,1.31125,1.63E-05
,,1.3125,1.66E-05
,,1.31375,1.69E-05
,,1.315,1.74E-05
,,1.31625,1.78E-05
,,1.3175,1.82E-05
,,1.31875,1.87E-05
,,1.32,1.91E-05
,,1.32125,1.96E-05
,,1.3225,2.01E-05
,,1.32375,2.05E-05
,,1.325,2.11E-05
,,1.32625,2.16E-05
,,1.3275,2.22E-05
,,1.32875,2.27E-05
,,1.33,2.34E-05
,,1.33125,2.42E-05
,,1.3325,2.48E-05
,,1.33375,2.55E-05
,,1.335,2.60E-05
,,1.33625,2.67E-05
,,1.3375,2.74E-05
,,1.33875,2.80E-05
,,1.34,2.86E-05
,,1.34125,2.92E-05
,,1.3425,2.99E-05
,,1.34375,3.05E-05
,,1.345,3.10E-05
,,1.34625,3.17E-05
,,1.3475,3.23E-05
,,1.34875,3.28E-05
,,1.35,3.34E-05
,,1.35125,3.40E-05
,,1.3525,3.45E-05
,,1.35375,3.51E-05
,,1.355,3.56E-05
,,1.35625,3.63E-05
,,1.3575,3.67E-05
,,1.35875,3.73E-05
,,1.36,3.79E-05
,,1.36125,3.86E-05
,,1.3625,3.94E-05
,,1.36375,4.00E-05
,,1.365,4.08E-05
,,1.36625,4.19E-05
,,1.3675,4.27E-05
,,1.36875,4.38E-05
,,1.37,4.50E-05
,,1.37125,4.68E-05
,,1.3725,4.83E-05
,,1.37375,5.00E-05
,,1.375,5.18E-05
,,1.37625,5.39E-05
,,1.3775,5.62E-05
,,1.37875,5.87E-05
,,1.38,6.15E-05
